,trend
0,10.282977478408515
1,10.222952234554892
2,10.16275012977726
3,10.10455495800502
4,10.04982379433645
5,9.999948367021085
6,9.956289264436986
7,9.92208210723283
8,9.899339835267023
9,9.888249087080945
10,9.888434413818942
11,9.89521521094594
12,9.903980602418224
13,9.91268520268524
14,9.919343638319932
15,9.921400107643555
16,9.918224219203426
17,9.909859706479581
18,9.897026412815048
19,9.883000519236305
20,9.87174756526183
21,9.866056215085576
22,9.86817029067322
23,9.878542328856005
24,9.894582260033511
25,9.911275925649782
26,9.923675053236343
27,9.931261822871182
28,9.934191117724016
29,9.932035782325272
30,9.924409791756801
31,9.91096959873651
32,9.89141889986246
33,9.86551703573349
34,9.83121621013603
35,9.787802678709188
36,9.732793186960723
37,9.664462103724208
38,9.581875802091364
39,9.484310366339079
40,9.37567820836793
41,9.260214046099534
42,9.13941779857528
43,9.01525175105774
44,8.888966052685376
45,8.762426320252244
46,8.640067566769465
47,8.527723288798006
48,8.429576940669596
49,8.34760714966046
50,8.279774057458896
51,8.22507055128467
52,8.184814659571636
53,8.158308741659086
54,8.146614647724086
55,8.150070284980156
56,8.167671926486001
57,8.197697051372206
58,8.237693343815309
59,8.286959927334737
60,8.344647367110031
61,8.409101878366151
62,8.477204271723608
63,8.548704669128933
64,8.621179939858834
65,8.692489012771816
66,8.764477579263968
67,8.83918352509841
68,8.91441693755121
69,8.988713414195251
70,9.059412042017444
71,9.123858962120828
72,9.179988183082177
73,9.226906301626938
74,9.266732421866145
75,9.301443831472312
76,9.330976110354287
77,9.358826436026249
78,9.387660125933404
79,9.420543230998451
80,9.459049514565379
81,9.50448990045881
82,9.556013406556751
83,9.61495374454943
84,9.679797117747974
85,9.747395383373165
86,9.816050525447187
87,9.88234740587761
88,9.941110854993603
89,9.990989235995654
90,10.033792717799882
91,10.070087101049905
92,10.099792065940722
93,10.120283488229184
94,10.130124873630933
95,10.127804550681471
96,10.114854519870288
97,10.095226903842697
98,10.07280204116909
99,10.049525753604968
100,10.027298361630097
101,10.007989232128242
102,9.99157567050715
103,9.975529988904494
104,9.95920476466388
105,9.941967868885854
106,9.925712669693045
107,9.912993805290037
108,9.90453734346285
109,9.899873730869205
110,9.897343078327157
111,9.894723075572976
112,9.894230572918978
113,9.898773218755233
114,9.908199767363739
115,9.923672239764766
116,9.943910032123988
117,9.96455524545722
118,9.98378503701021
119,10.001048717000295
120,10.015180729996676
121,10.026889865120438
122,10.034375423536414
123,10.038944900243735
124,10.04250930560182
125,10.045080309407442
126,10.044768013141368
127,10.039654343090989
128,10.025293245535476
129,9.999713882789571
130,9.962804608889552
131,9.914453956694963
132,9.857073706184783
133,9.79375410361507
134,9.72392472417551
135,9.646519046741023
136,9.562518097233927
137,9.475623827172319
138,9.390436614263525
139,9.31000957132289
140,9.237151788281839
141,9.176978599089715
142,9.130707117828187
143,9.098193846954498
144,9.077338596977242
145,9.06597980725067
146,9.061282580505921
147,9.061620782094604
148,9.066579975755515
149,9.079457212238646
150,9.102257929809136
151,9.135687905974477
152,9.179764007036026
153,9.233793294353902
154,9.294470476783825
155,9.358969142372548
156,9.42490383511883
157,9.490289743307443
158,9.552876490326206
159,9.606982268473374
160,9.650954722240748
161,9.685262132202332
162,9.70996593223073
163,9.727824267365921
164,9.741151553940238
165,9.753057318118922
166,9.765562866346002
167,9.77834384424168
168,9.791222420634695
169,9.80415929945113
170,9.82099567060418
171,9.843195124444875
172,9.870458129030116
173,9.901958155464028
174,9.936324638520091
175,9.970373289124625
176,9.998459615304878
177,10.016832641782393
178,10.022992356019149
179,10.01505322507601
180,9.99236534579133
181,9.954269406737787
182,9.901985868146948
183,9.83488877187116
184,9.755538418595178
185,9.667223303521336
186,9.575259710340347
187,9.483296908178218
188,9.392749628841994
189,9.306605543571118
190,9.226356855086998
191,9.15205413764631
192,9.084231492471297
193,9.022702986948161
194,8.969105043780315
195,8.923809896304327
196,8.887834087204403
197,8.862866777979558
198,8.851917233824311
199,8.856830428196943
200,8.880168886284597
201,8.923334614256788
202,8.984054512729102
203,9.058228398183216
204,9.145516053030345
205,9.24554086693285
206,9.35533528201994
207,9.471153277379006
208,9.589651747546165
209,9.707193116259177
210,9.820396274913582
211,9.92731311920727
212,10.0236077971663
213,10.104989886117227
214,10.167779208513377
215,10.208854968129248
216,10.226866506734023
217,10.223457631741802
218,10.20200535899998
219,10.166372043336118
220,10.120293786228405
221,10.066777706627946
222,10.007505739869448
223,9.945368085220968
224,9.883875250863154
225,9.823446889923385
226,9.76707523349725
227,9.716612858374134
228,9.674057919322491
229,9.640335688074295
230,9.615325150161933
231,9.601005081312744
232,9.600844679035214
233,9.614187512662014
234,9.639376623601414
235,9.67437118606627
236,9.714855763879696
237,9.757968438873501
238,9.80102550802708
239,9.841494538045525
240,9.878217454691423
241,9.908260249641078
242,9.93064002866162
243,9.944431234864153
244,9.951251661341871
245,9.952753831666183
246,9.949995737120155
247,9.940939897842071
248,9.922955086634522
249,9.895321988863945
250,9.860494442967635
251,9.82161671113985
252,9.77817024654799
253,9.732872991914986
254,9.688581533559681
255,9.647694412180968
256,9.61092980501926
257,9.57922608030736
258,9.55563977514992
259,9.544115410351406
260,9.5476252318568
261,9.566926413479624
262,9.601183863263486
263,9.648583160243572
264,9.706934143540522
265,9.77426628779983
266,9.848792233827272
267,9.928240705998759
268,10.011059933544065
269,10.09824299525171
270,10.190151057451748
271,10.287083884602204
272,10.388597396750193
273,10.496568086514959
274,10.60887957314278
275,10.719355120825862
276,10.820812444023193
277,10.90811966024325
278,10.973756879216985
279,11.013386635887702
280,11.024562867149198
281,11.007331143247828
282,10.965471682637979
283,10.901510121809512
284,10.819243677450629
285,10.725031122423399
286,10.625344202291487
287,10.526201518167035
288,10.43073083103576
289,10.339856025934523
290,10.256106781130786
291,10.179300364875793
292,10.11096897868259
293,10.052532761336174
294,10.005967496009863
295,9.97196613290114
296,9.949342892522488
297,9.937554516553325
298,9.937964407365252
299,9.948224995757014
300,9.966027484772756
301,9.987220436834274
302,10.006423647185384
303,10.021389898296881
304,10.031117957860069
305,10.033968224879814
306,10.029531649637313
307,10.017377952273211
308,9.998933395647127
309,9.976863381398507
310,9.951958977794526
311,9.926275713488977
312,9.901274142774541
313,9.877835897622969
314,9.85752931366677
315,9.84199907910244
316,9.833603926305422
317,9.832926338226724
318,9.839402795363403
319,9.849449199251133
320,9.861456824678482
321,9.873911040684492
322,9.88600880579278
323,9.895150884126531
324,9.898184284305316
325,9.896396545646121
326,9.89238884228824
327,9.88820210052994
328,9.88594450364306
329,9.885294108586617
330,9.885375257004837
331,9.88725898172408
332,9.890837956035082
333,9.897325316364991
334,9.906127425418449
335,9.919839817577369
336,9.93986669758278
337,9.965162370289724
338,9.99534372386725
339,10.031924420002978
340,10.07704603055711
341,10.129705174627345
342,10.188850317542286
343,10.254598858896395
344,10.329450166835677
345,10.414494485219329
346,10.506866151552273
347,10.602815444286167
348,10.69952585052794
349,10.799429097731846
350,10.898894709695552
351,10.992542567030643
352,11.076305741155146
353,11.150496964382693
