,trend
0,1.116365178986353
1,1.1995645687158882
2,1.2826912302085574
3,1.3661727073720458
4,1.4508848620951587
5,1.5374746983245937
6,1.6263074169682386
7,1.7174122972475279
8,1.810427176248291
9,1.9045415083705783
10,1.9984382310292848
11,2.090234943196575
12,2.1780502199502205
13,2.2611962395284944
14,2.3394988987822027
15,2.4126208469124455
16,2.479387546308585
17,2.538991571330661
18,2.5903258791222714
19,2.632571557094933
20,2.6645407389857105
21,2.6877752013084875
22,2.7040263826152824
23,2.7139908619572948
24,2.718550201896592
25,2.7175147207065184
26,2.7114956427842323
27,2.70315574582645
28,2.694088122753148
29,2.686071394143161
30,2.680450375498606
31,2.6775160877002606
32,2.6765092701442152
33,2.678122214671748
34,2.683249394830295
35,2.6917364577831266
36,2.702377019821742
37,2.714157361951523
38,2.726249779540467
39,2.7380052196053484
40,2.7483207230507283
41,2.7556320775189147
42,2.7579073702003094
43,2.7538924182368647
44,2.744359346664157
45,2.730234097756366
46,2.7126023891960047
47,2.6914685423544897
48,2.665766502109989
49,2.6352480455016947
50,2.599248845504981
51,2.5579575450667824
52,2.512438256605595
53,2.463406369074245
54,2.41063199751518
55,2.353595627990178
56,2.292146101562568
57,2.227786262028187
58,2.1624613618693957
59,2.0973492871547865
60,2.033526385601783
61,1.9732581616233382
62,1.918164165641402
63,1.8692556617269103
64,1.827595061347273
65,1.793701491181321
66,1.7688268309945432
67,1.7537268971204414
68,1.7486769891231433
69,1.7534813272560767
70,1.7681012086544683
71,1.7920270046240085
72,1.8248940232149797
73,1.8658425555997753
74,1.9134973341862804
75,1.9665669397851306
76,2.0231890173730958
77,2.0808971075895792
78,2.1378352579381272
79,2.191471955230043
80,2.241689539240419
81,2.2888756797723295
82,2.3332669906668224
83,2.3755445384650895
84,2.4155560978391537
85,2.452289728124498
86,2.4838487660954547
87,2.508678867446277
88,2.5274232823924088
89,2.540407336857138
90,2.5482517172122563
91,2.5512393552440216
92,2.550560525415432
93,2.5476859775924643
94,2.5431173613127087
95,2.5370140223777615
96,2.5304458582384006
97,2.524147132581418
98,2.5185205804322064
99,2.514891344858296
100,2.5136354935644487
101,2.514807287164888
102,2.518764964090361
103,2.524920008217136
104,2.532359675318928
105,2.5398431461643156
106,2.546421876724804
107,2.5526849210055467
108,2.5601298193387434
109,2.5692836839809665
110,2.579698546051701
111,2.589945634367944
112,2.598233866155412
113,2.603028442618337
114,2.601795668794606
115,2.5928749569454665
116,2.574854597039171
117,2.548452332195881
118,2.5159016214126098
119,2.478468140978748
120,2.4383451286703037
121,2.3968017796751737
122,2.355458323475836
123,2.3163119884424708
124,2.2805128414930866
125,2.2496382545529165
126,2.2250902790212583
127,2.2081149423883164
128,2.1991925907199064
129,2.1980484982428496
130,2.2042834438147687
131,2.217374425981884
132,2.2360457661380324
133,2.260135926660813
134,2.2899608413239885
135,2.3262988589471565
136,2.3691221028240887
137,2.4181987594617134
138,2.472441314052694
139,2.5305008775650304
140,2.5913582851454375
141,2.653662808892152
142,2.715069121975194
143,2.773448358309027
144,2.827474733606879
145,2.876589058358036
146,2.919714971343279
147,2.9552282431819155
148,2.980929822636165
149,2.9946486408162594
150,2.9967255476932824
151,2.9868797378378087
152,2.9654574523531014
153,2.933438132506274
154,2.8924478086567205
155,2.8429041123310173
156,2.786541895175332
157,2.726444193765621
158,2.665827455993357
159,2.6068291021289087
160,2.550545410282651
161,2.497693390376127
162,2.4492709614494514
163,2.4059649841737567
164,2.36755652486927
165,2.3335729217411108
166,2.3039367901663574
167,2.278362262446
168,2.256998510387175
169,2.2391957293829896
170,2.2235184907575594
171,2.2096318685041347
172,2.197061237559243
173,2.185200952941596
174,2.1751972063964304
175,2.168080439073397
176,2.1641465938681472
177,2.1629615634019137
178,2.163988648674759
179,2.1665892997096217
180,2.1693974736240174
181,2.1715680092231437
182,2.1727748718911837
183,2.1725847970065546
184,2.171706535652743
185,2.170740973415106
186,2.1701816792942195
187,2.1704155091822708
188,2.1710979554218923
189,2.1724030006624773
190,2.1750226913312796
191,2.1789163219801377
192,2.183933797978808
193,2.1891882019958073
194,2.1930526580759153
195,2.193782047637664
196,2.1907605941882906
197,2.1832514074552565
198,2.171648371794657
199,2.1568558394329287
200,2.1402958823641356
201,2.1232925376826954
202,2.1070821575565497
203,2.0928240363175865
204,2.0809855419492216
205,2.0719760274121723
206,2.0655292297034396
207,2.06070890080289
208,2.057787836921826
209,2.056375891208548
210,2.05667179941328
